AB,Defect,Type,Plot,Label,gap,VBM,Toten_pure,Toten_p2,Toten_p1,Toten_neut,Toten_m1,Toten_m2,Corr_p2,Corr_p1,Corr_neut,Corr_m1,Corr_m2,mu_Cd_rich,mu_Te_rich
CdTe,As_Te+As_i,Extrinsic,Y,As$_{Te}$+As$_{i}$,0.64,2.14,-592.22,-601.49,-598.83,-596.26,-593.49,-590.67,0.29,0.07,0.00,0.06,0.23,6.16,6.75
CdTe,As_Te+Cl_Te,Extrinsic,Y,As$_{Te}$+Cl$_{Te}$,0.64,2.14,-592.22,-596.15,-594.04,-591.89,-589.22,-586.49,0.19,0.04,0.00,0.12,0.30,0.25,1.32
CdTe,As_Te+Cl_i,Extrinsic,Y,As$_{Te}$+Cl$_{i}$,0.64,2.14,-592.22,-599.54,-597.39,-595.20,-591.61,-589.28,0.25,0.01,0.00,0.09,0.28,4.55,4.84
CdTe,As_Te+O_Te,Extrinsic,Y,As$_{Te}$+O$_{Te}$,0.64,2.14,-592.22,-598.50,-596.42,-594.31,-592.17,-589.61,0.24,0.02,0.00,0.11,0.28,3.92,4.87
CdTe,As_Te+O_i,Extrinsic,Y,As$_{Te}$+O$_{i}$,0.64,2.14,-592.22,-603.12,-600.97,-598.70,-596.12,-593.39,0.14,0.01,0.00,0.12,0.36,8.22,8.40
CdTe,As_i+As_i,Extrinsic,Y,As$_{i}$+As$_{i}$,0.64,2.14,-592.22,-605.09,-602.22,-599.63,-596.68,-593.83,0.43,0.12,0.00,0.00,0.23,10.46,10.28
CdTe,As_i+Te_i,Extrinsic,Y,As$_{i}$+Te$_{i}$,0.64,2.14,-592.22,-603.18,-600.94,-598.10,-595.22,-591.74,0.35,0.13,0.00,0.01,0.20,9.53,8.67
CdTe,Bi_Te+Bi_i,Extrinsic,Y,Bi$_{Te}$+Bi$_{i}$,0.64,2.14,-592.22,-599.95,-597.16,-594.31,-591.11,-588.11,0.39,0.10,0.00,0.10,0.28,4.33,6.14
CdTe,Bi_Te+Cl_Te,Extrinsic,Y,Bi$_{Te}$+Cl$_{Te}$,0.64,2.14,-592.22,-594.88,-592.70,-590.45,-587.74,-584.98,0.35,0.06,0.00,0.07,0.28,-0.67,1.01
CdTe,Bi_Te+Cl_i,Extrinsic,Y,Bi$_{Te}$+Cl$_{i}$,0.64,2.14,-592.22,-598.97,-596.38,-594.06,-591.27,-587.78,0.29,0.05,0.00,0.07,0.28,3.63,4.54
CdTe,Bi_Te+O_Te,Extrinsic,Y,Bi$_{Te}$+O$_{Te}$,0.64,2.14,-592.22,-597.49,-595.33,-593.14,-590.81,-588.22,0.24,0.04,0.00,0.10,0.29,3.01,4.57
CdTe,Bi_Te+O_i,Extrinsic,Y,Bi$_{Te}$+O$_{i}$,0.64,2.14,-592.22,-602.41,-600.14,-597.33,-594.57,-591.58,0.19,0.05,0.00,0.12,0.36,7.31,8.09
CdTe,Bi_i+Bi_i,Extrinsic,Y,Bi$_{i}$+Bi$_{i}$,0.64,2.14,-592.22,-603.48,-600.64,-597.73,-594.75,-591.56,0.54,0.15,0.00,0.11,0.25,8.63,9.67
CdTe,Bi_i+Te_i,Extrinsic,Y,Bi$_{i}$+Te$_{i}$,0.64,2.14,-592.22,-602.32,-600.03,-597.16,-594.25,-590.41,0.51,0.14,0.00,0.02,0.16,8.61,8.36
